Title,Score,Number_Votes
Samurai Jack,8.5,63462
Detectorists,8.6,23941
Happy Valley,8.5,69476
Yellowstone,8.6,274736
Impractical Jokers,8.6,49181
Spaced,8.5,59534
Regular Show,8.5,66711
Long Way Round,8.6,16287
Spartacus,8.5,266603
Jujutsu Kaisen,8.5,153833
Twin Peaks,8.5,83125
Whose Line Is It Anyway?,8.5,48012
Derry Girls,8.5,68824
Sons of Anarchy,8.5,340098
Mob Psycho 100,8.5,55476
Louie,8.5,84123
The Eric Andre Show,8.5,23207
Through the Wormhole,8.6,19133
The Office,8.5,128302
Hwan Hon,8.7,23022
Shinseiki Evangelion,8.5,97621
Trailer Park Boys,8.5,54693
Spartacus: Gods of the Arena,8.5,150211
L&apos;amica geniale,8.6,21609
Schitt$ Creek,8.5,161292
Brass Eye,8.6,12286
Silicon Valley,8.5,174448
Skam,8.6,40985
Shameless,8.5,310719
All Creatures Great &amp; Small,8.6,20018
Rurôni Kenshin: Meiji kenkaku romantan - Tsuioku-hen,8.6,17366
Futurama,8.5,271041
Hagane no renkinjutsushi,8.5,82087
The Expanse,8.5,183219
Formula 1: Drive to Survive,8.5,56150
North &amp; South,8.5,36715
Hannibal,8.5,292182
Doctor Who,8.5,257056
Avrupa Yakasi,8.6,22869
Gintama,8.7,18268
Isanghan byeonhosa Woo Young-woo,8.6,33241
Wentworth,8.6,26160
From the Earth to the Moon,8.5,14087
Umbre,8.7,12294
The Boondocks,8.5,38436
